ST_week,date
1,1/4/18
2,1/11/18
3,1/18/18
4,1/25/18
5,2/1/18
6,2/8/18
7,2/15/18
8,2/22/18
9,3/1/18
10,3/8/18
11,3/15/18
12,3/22/18
13,3/29/18
14,4/5/18
15,4/12/18
16,4/19/18
17,4/26/18
18,5/3/18
19,5/10/18
20,5/17/18
21,5/24/18
22,5/31/18
23,6/7/18
24,6/14/18
25,6/21/18
26,6/28/18
27,7/6/18
28,7/13/18
29,7/20/18
30,7/27/18
31,8/3/18
32,8/10/18
33,8/17/18
34,8/24/18
35,8/31/18
36,9/7/18
37,9/14/18
38,9/21/18
39,9/28/18
40,10/5/18
41,10/12/18
42,10/19/18
43,10/26/18
44,11/2/18
45,11/9/18
46,11/16/18
47,11/23/18
48,11/30/18
49,12/7/18
50,12/14/18
51,12/21/18
52,12/28/18
