DAY,YEAR,JUL,REG,LOC,LOCATION ,RIVER,MALL,NOPI,AGWT,DUCKS,% ICE,% WET,County
2/14/2017,2017,45,1,1,Turner Lake,Illinois River,30,0,0,145,-0- ,-0- ,"Putnam, Illinois"
3/2/2017,2017,61,1,1,Turner Lake,Illinois River,0,0,100,350,-0- ,-0- ,"Putnam, Illinois"
3/9/2017,2017,68,1,1,Turner Lake,Illinois River,330,50,0,470,-0- ,-0- ,"Putnam, Illinois"
3/16/2017,2017,75,1,1,Turner Lake,Illinois River,370,0,0,380,-0- ,-0- ,"Putnam, Illinois"
3/28/2017,2017,87,1,1,Turner Lake,Illinois River,10,0,500,565,-0- ,-0- ,"Putnam, Illinois"
4/14/2017,2017,104,1,1,Turner Lake,Illinois River,0,0,0,0,-0- ,-0- ,"Putnam, Illinois"
2/26/2018,2018,57,1,1,Turner Lake,Illinois River,0,0,0,0,0,100,"Putnam, Illinois"
3/8/2018,2018,67,1,1,Turner Lake,Illinois River,50,0,0,50,0,100,"Putnam, Illinois"
3/15/2018,2018,74,1,1,Turner Lake,Illinois River,250,50,0,310,0,100,"Putnam, Illinois"
3/22/2018,2018,81,1,1,Turner Lake,Illinois River,220,0,0,325,0,100,"Putnam, Illinois"
3/28/2018,2018,87,1,1,Turner Lake,Illinois River,900,0,100,"1,030",0,100,"Putnam, Illinois"
4/10/2018,2018,100,1,1,Turner Lake,Illinois River,760,0,100,"1,070",0,90,"Putnam, Illinois"
4/17/2018,2018,107,1,1,Turner Lake,Illinois River,100,0,0,350,0,90,"Putnam, Illinois"
4/26/2018,2018,116,1,1,Turner Lake,Illinois River,5,0,0,10,0,90,"Putnam, Illinois"
2/27/2019,2019,58,1,1,Turner Lake,Illinois River,0,0,0,0,100,100,"Putnam, Illinois"
3/4/2019,2019,63,1,1,Turner Lake,Illinois River,0,0,0,0,90,100,"Putnam, Illinois"
3/11/2019,2019,70,1,1,Turner Lake,Illinois River,210,0,0,230,90,100,"Putnam, Illinois"
3/18/2019,2019,77,1,1,Turner Lake,Illinois River,30,0,0,60,0,100,"Putnam, Illinois"
3/26/2019,2019,85,1,1,Turner Lake,Illinois River,30,0,0,55,0,100,"Putnam, Illinois"
4/8/2019,2019,98,1,1,Turner Lake,Illinois River,10,0,100,680,0,100,"Putnam, Illinois"
2/14/2017,2017,45,1,2,"Depue, Spring",Illinois River,100,0,0,905,-0- ,-0- ,"Bureau, Illinois"
3/2/2017,2017,61,1,2,"Depue, Spring",Illinois River,100,0,0,825,-0- ,-0- ,"Bureau, Illinois"
3/9/2017,2017,68,1,2,"Depue, Spring",Illinois River,210,0,200,"2,360",-0- ,-0- ,"Bureau, Illinois"
3/16/2017,2017,75,1,2,"Depue, Spring",Illinois River,300,0,150,"1,650",-0- ,-0- ,"Bureau, Illinois"
3/28/2017,2017,87,1,2,"Depue, Spring",Illinois River,5,0,200,915,-0- ,-0- ,"Bureau, Illinois"
4/14/2017,2017,104,1,2,"Depue, Spring",Illinois River,0,0,0,25,-0- ,-0- ,"Bureau, Illinois"
2/26/2018,2018,57,1,2,"Depue, Spring",Illinois River,0,0,0,"1,105",0,100,"Bureau, Illinois"
3/8/2018,2018,67,1,2,"Depue, Spring",Illinois River,0,0,0,370,0,100,"Bureau, Illinois"
3/15/2018,2018,74,1,2,"Depue, Spring",Illinois River,"2,300","1,000",0,"3,335",0,100,"Bureau, Illinois"
3/22/2018,2018,81,1,2,"Depue, Spring",Illinois River,"2,200",500,0,"3,320",0,90,"Bureau, Illinois"
3/28/2018,2018,87,1,2,"Depue, Spring",Illinois River,"1,110",0,410,"2,710",0,90,"Bureau, Illinois"
4/10/2018,2018,100,1,2,"Depue, Spring",Illinois River,240,0,140,580,0,70,"Bureau, Illinois"
4/17/2018,2018,107,1,2,"Depue, Spring",Illinois River,200,0,260,910,0,100,"Bureau, Illinois"
4/26/2018,2018,116,1,2,"Depue, Spring",Illinois River,10,0,40,90,0,80,"Bureau, Illinois"
2/27/2019,2019,58,1,2,"Depue, Spring",Illinois River,900,0,0,900,80,100,"Bureau, Illinois"
3/4/2019,2019,63,1,2,"Depue, Spring",Illinois River,0,0,0,30,90,100,"Bureau, Illinois"
3/11/2019,2019,70,1,2,"Depue, Spring",Illinois River,"1,100",100,0,"1,300",60,100,"Bureau, Illinois"
3/18/2019,2019,77,1,2,"Depue, Spring",Illinois River,"3,000",0,0,"3,230",0,100,"Bureau, Illinois"
3/26/2019,2019,85,1,2,"Depue, Spring",Illinois River,500,0,200,"2,235",0,100,"Bureau, Illinois"
4/8/2019,2019,98,1,2,"Depue, Spring",Illinois River,0,0,50,470,0,100,"Bureau, Illinois"
2/14/2017,2017,45,1,3,Coleman Lake,Illinois River,50,0,0,295,-0- ,-0- ,"Putnam, Illinois"
3/2/2017,2017,61,1,3,Coleman Lake,Illinois River,50,0,0,70,-0- ,-0- ,"Putnam, Illinois"
3/9/2017,2017,68,1,3,Coleman Lake,Illinois River,200,0,0,250,-0- ,-0- ,"Putnam, Illinois"
3/16/2017,2017,75,1,3,Coleman Lake,Illinois River,20,0,0,340,-0- ,-0- ,"Putnam, Illinois"
3/28/2017,2017,87,1,3,Coleman Lake,Illinois River,0,0,5,215,-0- ,-0- ,"Putnam, Illinois"
4/14/2017,2017,104,1,3,Coleman Lake,Illinois River,10,0,0,170,-0- ,-0- ,"Putnam, Illinois"
2/26/2018,2018,57,1,3,Coleman Lake,Illinois River,10,0,0,10,0,100,"Putnam, Illinois"
3/8/2018,2018,67,1,3,Coleman Lake,Illinois River,0,0,0,0,0,100,"Putnam, Illinois"
3/15/2018,2018,74,1,3,Coleman Lake,Illinois River,700,100,0,810,0,100,"Putnam, Illinois"
3/22/2018,2018,81,1,3,Coleman Lake,Illinois River,10,0,0,10,0,80,"Putnam, Illinois"
3/28/2018,2018,87,1,3,Coleman Lake,Illinois River,100,0,50,200,0,80,"Putnam, Illinois"
4/10/2018,2018,100,1,3,Coleman Lake,Illinois River,0,0,0,110,0,80,"Putnam, Illinois"
4/17/2018,2018,107,1,3,Coleman Lake,Illinois River,0,0,0,0,0,100,"Putnam, Illinois"
4/26/2018,2018,116,1,3,Coleman Lake,Illinois River,0,0,0,10,0,90,"Putnam, Illinois"
2/27/2019,2019,58,1,3,Coleman Lake,Illinois River,500,0,0,530,90,100,"Putnam, Illinois"
3/4/2019,2019,63,1,3,Coleman Lake,Illinois River,0,0,0,40,90,100,"Putnam, Illinois"
3/11/2019,2019,70,1,3,Coleman Lake,Illinois River,0,0,0,50,80,100,"Putnam, Illinois"
3/18/2019,2019,77,1,3,Coleman Lake,Illinois River,310,0,0,345,0,100,"Putnam, Illinois"
3/26/2019,2019,85,1,3,Coleman Lake,Illinois River,20,0,0,40,0,100,"Putnam, Illinois"
4/8/2019,2019,98,1,3,Coleman Lake,Illinois River,15,0,0,25,0,100,"Putnam, Illinois"
2/14/2017,2017,45,1,4,Bureau Ponds,Illinois River,0,0,0,0,-0- ,-0- ,"Bureau, Illinois"
3/2/2017,2017,61,1,4,Bureau Ponds,Illinois River,930,0,0,"1,265",-0- ,-0- ,"Bureau, Illinois"
3/9/2017,2017,68,1,4,Bureau Ponds,Illinois River,10,0,0,10,-0- ,-0- ,"Bureau, Illinois"
3/16/2017,2017,75,1,4,Bureau Ponds,Illinois River,50,0,100,250,-0- ,-0- ,"Bureau, Illinois"
3/28/2017,2017,87,1,4,Bureau Ponds,Illinois River,220,0,"1,050","1,600",-0- ,-0- ,"Bureau, Illinois"
4/14/2017,2017,104,1,4,Bureau Ponds,Illinois River,0,0,0,0,-0- ,-0- ,"Bureau, Illinois"
2/26/2018,2018,57,1,4,Bureau Ponds,Illinois River,0,0,0,"1,000",0,100,"Bureau, Illinois"
3/8/2018,2018,67,1,4,Bureau Ponds,Illinois River,0,0,0,20,0,100,"Bureau, Illinois"
3/15/2018,2018,74,1,4,Bureau Ponds,Illinois River,0,0,0,200,0,100,"Bureau, Illinois"
3/22/2018,2018,81,1,4,Bureau Ponds,Illinois River,0,0,0,300,0,100,"Bureau, Illinois"
3/28/2018,2018,87,1,4,Bureau Ponds,Illinois River,400,0,50,"1,180",0,100,"Bureau, Illinois"
4/10/2018,2018,100,1,4,Bureau Ponds,Illinois River,0,0,0,300,0,100,"Bureau, Illinois"
4/17/2018,2018,107,1,4,Bureau Ponds,Illinois River,0,0,10,110,0,50,"Bureau, Illinois"
4/26/2018,2018,116,1,4,Bureau Ponds,Illinois River,0,0,10,20,0,50,"Bureau, Illinois"
2/27/2019,2019,58,1,4,Bureau Ponds,Illinois River,0,0,0,5,90,100,"Bureau, Illinois"
3/4/2019,2019,63,1,4,Bureau Ponds,Illinois River,0,0,0,0,100,100,"Bureau, Illinois"
3/11/2019,2019,70,1,4,Bureau Ponds,Illinois River,0,0,0,0,90,100,"Bureau, Illinois"
3/18/2019,2019,77,1,4,Bureau Ponds,Illinois River,100,0,0,"1,305",0,100,"Bureau, Illinois"
3/26/2019,2019,85,1,4,Bureau Ponds,Illinois River,110,0,0,710,0,100,"Bureau, Illinois"
4/8/2019,2019,98,1,4,Bureau Ponds,Illinois River,50,0,100,"1,310",0,100,"Bureau, Illinois"
9/3/2002,2002,246,1,5,Goose Lake,Illinois River,20,0,0,140,0,-0- ,"Bureau and Putnam, Illinois"
9/11/2002,2002,254,1,5,Goose Lake,Illinois River,150,50,500,"2,800",0,-0- ,"Bureau and Putnam, Illinois"
9/17/2002,2002,260,1,5,Goose Lake,Illinois River,510,100,260,"1,320",0,-0- ,"Bureau and Putnam, Illinois"
10/8/2002,2002,281,1,5,Goose Lake,Illinois River,200,400,0,650,0,-0- ,"Bureau and Putnam, Illinois"
10/15/2002,2002,288,1,5,Goose Lake,Illinois River,"1,800",900,"1,000","4,700",0,-0- ,"Bureau and Putnam, Illinois"
10/30/2002,2002,303,1,5,Goose Lake,Illinois River,"9,500",0,"5,000","17,000",0,-0- ,"Bureau and Putnam, Illinois"
11/6/2002,2002,310,1,5,Goose Lake,Illinois River,"27,600","2,000","1,500","35,500",0,-0- ,"Bureau and Putnam, Illinois"
11/12/2002,2002,315,1,5,Goose Lake,Illinois River,"24,000",500,"3,000","32,800",0,-0- ,"Bureau and Putnam, Illinois"
11/19/2002,2002,323,1,5,Goose Lake,Illinois River,"28,300",0,"1,200","33,350",0,-0- ,"Bureau and Putnam, Illinois"
11/27/2002,2002,331,1,5,Goose Lake,Illinois River,"19,800",0,0,"22,000",90,-0- ,"Bureau and Putnam, Illinois"
12/3/2002,2002,337,1,5,Goose Lake,Illinois River,"6,000",0,0,"7,000",97,-0- ,"Bureau and Putnam, Illinois"
12/10/2002,2002,344,1,5,Goose Lake,Illinois River,0,0,0,0,98,-0- ,"Bureau and Putnam, Illinois"
12/23/2002,2002,357,1,5,Goose Lake,Illinois River,0,0,0,0,80,-0- ,"Bureau and Putnam, Illinois"
1/7/2003,2003,7,1,5,Goose Lake,Illinois River,0,0,0,0,70,-0- ,"Bureau and Putnam, Illinois"
9/4/2003,2003,247,1,5,Goose Lake,Illinois River,120,0,150,"2,005",0,-0- ,"Bureau and Putnam, Illinois"
9/11/2003,2003,254,1,5,Goose Lake,Illinois River,150,200,200,"1,850",0,-0- ,"Bureau and Putnam, Illinois"
9/16/2003,2003,259,1,5,Goose Lake,Illinois River,100,50,690,990,0,-0- ,"Bureau and Putnam, Illinois"
10/7/2003,2003,280,1,5,Goose Lake,Illinois River,300,"1,100",500,"2,400",0,-0- ,"Bureau and Putnam, Illinois"
10/15/2003,2003,288,1,5,Goose Lake,Illinois River,"7,500","1,000","2,500","11,800",0,-0- ,"Bureau and Putnam, Illinois"
10/22/2003,2003,295,1,5,Goose Lake,Illinois River,"17,400",800,"1,500","22,100",0,-0- ,"Bureau and Putnam, Illinois"
10/27/2003,2003,300,1,5,Goose Lake,Illinois River,"14,000","3,100","4,000","25,400",0,-0- ,"Bureau and Putnam, Illinois"
11/5/2003,2003,309,1,5,Goose Lake,Illinois River,"24,400",0,"4,000","39,950",0,-0- ,"Bureau and Putnam, Illinois"
11/10/2003,2003,314,1,5,Goose Lake,Illinois River,"29,550","1,900","2,600","36,700",0,-0- ,"Bureau and Putnam, Illinois"
11/19/2003,2003,323,1,5,Goose Lake,Illinois River,"20,800",780,520,"24,750",0,-0- ,"Bureau and Putnam, Illinois"
11/26/2003,2003,330,1,5,Goose Lake,Illinois River,"10,400","1,000",400,"12,400",0,-0- ,"Bureau and Putnam, Illinois"
12/2/2003,2003,336,1,5,Goose Lake,Illinois River,"18,650",0,0,"20,300",50,-0- ,"Bureau and Putnam, Illinois"
12/8/2003,2003,342,1,5,Goose Lake,Illinois River,"16,200",0,100,"17,100",0,-0- ,"Bureau and Putnam, Illinois"
12/17/2003,2003,351,1,5,Goose Lake,Illinois River,"1,500",0,0,"2,100",75,-0- ,"Bureau and Putnam, Illinois"
1/7/2004,2004,7,1,5,Goose Lake,Illinois River,0,0,0,0,100,-0- ,"Bureau and Putnam, Illinois"
